scenario,config,world,seed,plant_mismatch,draw,plant_yaw_gain,plant_speed_yaw_loss,result,success,time_s,path_len_m,min_clear_m,stall_s,controller_mean_ms,controller_p95_ms,controller_max_ms,omega_sign_flips,mode_switches,branch_selection_fraction,unique_branch_ids,mean_ess,min_ess,mean_path_error_m,max_path_error_m
blocked,slip,4,1,0.3,6,1.019494302159636,0.6836276192426621,success,1,47.9,12.16,0.062,10.25,225.0,347.648,538.646,34,18,0.4102296450939457,12,45.11149608355244,1.0,0.333,1.0221
blocked,slip,4,1,0.3,7,0.5765899516161389,0.47280071981618815,success,1,30.45,9.71,0.071,4.6,254.686,397.543,515.411,16,9,0.4975369458128079,9,54.407201563412414,1.0,0.3064,1.0284
blocked,slip,48,0,0.3,0,0.9338919085683437,0.47629417768805793,success,1,30.55,10.56,0.111,1.35,230.308,355.67,468.384,14,8,0.41898527004909986,14,75.48289457224058,1.0000000000008593,0.3777,0.9458
blocked,slip,48,0,0.3,1,0.7017395090847686,0.3918023197978209,success,1,29.65,10.52,0.12,1.75,255.924,384.9,482.826,14,12,0.4974704890387858,12,75.08723103440731,1.0,0.3698,0.9807
blocked,slip,48,0,0.3,2,0.6417440552057836,0.4184328314947234,success,1,33.6,10.58,0.12,1.6,348.913,474.472,572.255,10,8,0.40327380952380953,15,79.97905242786668,1.0,0.3723,0.9878
blocked,slip,48,0,0.3,3,1.010140720705524,0.5809300404000526,success,1,29.0,10.61,0.123,1.2,318.012,492.49,606.227,8,8,0.45689655172413796,15,72.2865085977794,1.000000000487122,0.3869,0.9978
blocked,slip,48,0,0.3,4,0.7286892291430657,0.5472075318876746,success,1,30.3,10.55,0.12,1.75,310.01,418.869,504.495,14,12,0.5066006600660066,13,74.66952525724956,1.0,0.3783,1.0065
blocked,slip,48,0,0.3,5,0.8950906814261493,0.6202399628003488,success,1,30.15,10.59,0.12,1.2,239.433,367.614,509.354,14,8,0.4295190713101161,12,78.71527770595011,1.0,0.3695,0.9723
blocked,slip,48,0,0.3,6,0.9973122135980818,0.650903225156772,success,1,29.7,10.55,0.122,1.35,318.884,437.046,548.351,14,8,0.4478114478114478,14,73.28708534864995,1.0,0.3773,0.9299
blocked,slip,48,0,0.3,7,0.8687352480219025,0.4256689071670501,success,1,30.25,10.61,0.125,1.25,239.937,400.817,542.062,16,8,0.4446280991735537,14,76.31025020247455,1.0,0.3855,0.9798
