n,seed,condition,motion,result,success,min_clear_m,time_s,path_len_m,controller_mean_ms,blob_active_cycles,blob_cycles,blob_routes,blob_infeasible,blob_mean_ms,modes_added
20,19,blob_extras,waypoint,collision,0,-0.008,18.5,4.93,302.585,223,370,424,214,15.568,0
20,19,blob_pods,waypoint,success,1,0.122,35.05,12.48,405.001,266,701,775,257,23.553,0
30,0,base,waypoint,success,1,0.099,56.95,18.22,369.022,0,0,0,0,0.0,0
30,0,modes,waypoint,success,1,0.132,40.0,15.32,505.392,0,0,0,0,0.0,182
30,0,blob_extras,waypoint,success,1,0.096,37.3,13.87,395.948,272,746,544,212,22.179,0
30,0,blob_pods,waypoint,success,1,0.135,40.9,16.06,427.695,288,818,853,324,23.257,0
30,1,base,waypoint,collision,0,-0.003,45.15,13.03,549.621,0,0,0,0,0.0,0
30,1,modes,waypoint,collision,0,-0.004,47.4,14.14,478.301,0,0,0,0,0.0,208
30,1,blob_extras,waypoint,collision,0,-0.017,45.05,13.79,484.04,314,901,616,230,24.512,0
30,1,blob_pods,waypoint,collision,0,-0.007,44.95,12.79,506.317,324,899,927,327,25.086,0
30,2,base,waypoint,collision,0,-0.007,44.6,13.28,375.141,0,0,0,0,0.0,0
30,2,modes,waypoint,collision,0,-0.011,54.15,17.65,488.742,0,0,0,0,0.0,494
30,2,blob_extras,waypoint,collision,0,-0.003,36.4,10.43,452.866,316,728,622,252,23.733,0
30,2,blob_pods,waypoint,collision,0,-0.003,44.55,13.21,416.092,298,891,755,370,21.891,0
30,3,base,waypoint,success,1,0.114,36.3,13.07,485.565,0,0,0,0,0.0,0
30,3,modes,waypoint,success,1,0.181,39.5,13.57,461.226,0,0,0,0,0.0,158
30,3,blob_extras,waypoint,success,1,0.101,38.9,15.03,483.15,218,778,426,184,25.115,0
30,3,blob_pods,waypoint,success,1,0.132,35.85,12.94,507.916,116,717,348,176,28.05,0
30,4,base,waypoint,success,1,0.143,40.05,13.02,436.178,0,0,0,0,0.0,0
30,4,modes,waypoint,success,1,0.128,39.85,13.29,451.216,0,0,0,0,0.0,124
30,4,blob_extras,waypoint,success,1,0.099,51.65,13.77,507.445,299,1033,534,322,26.931,0
30,4,blob_pods,waypoint,success,1,0.129,38.75,12.38,453.588,204,775,596,193,25.819,0
30,5,base,waypoint,success,1,0.101,33.45,13.82,354.629,0,0,0,0,0.0,0
30,5,modes,waypoint,success,1,0.047,35.25,15.02,501.422,0,0,0,0,0.0,292
30,5,blob_extras,waypoint,success,1,0.023,33.4,14.01,410.862,175,668,318,101,23.79,0
30,5,blob_pods,waypoint,success,1,0.019,34.25,14.47,373.312,168,685,476,197,20.134,0
30,6,base,waypoint,success,1,0.018,49.15,18.02,362.599,0,0,0,0,0.0,0
30,6,modes,waypoint,collision,0,-0.007,14.9,3.98,456.612,0,0,0,0,0.0,4
30,6,blob_extras,waypoint,collision,0,-0.008,19.95,6.16,403.78,266,399,484,199,19.983,0
30,6,blob_pods,waypoint,collision,0,-0.006,19.75,6.25,355.483,266,395,711,363,16.248,0
30,7,base,waypoint,timeout,0,0.084,60.0,13.99,439.731,0,0,0,0,0.0,0
30,7,modes,waypoint,timeout,0,0.121,60.0,18.71,420.673,0,0,0,0,0.0,304
30,7,blob_extras,waypoint,timeout,0,0.122,60.0,13.85,493.154,608,1200,1194,291,30.372,0
30,7,blob_pods,waypoint,timeout,0,0.129,60.0,15.79,453.091,560,1200,1655,319,27.187,0
30,8,base,waypoint,collision,0,-0.0,8.0,2.79,495.861,0,0,0,0,0.0,0
30,8,modes,waypoint,collision,0,-0.004,7.75,2.74,412.658,0,0,0,0,0.0,108
30,8,blob_extras,waypoint,collision,0,-0.008,8.0,2.77,418.637,41,160,72,66,18.64,0
30,8,blob_pods,waypoint,collision,0,-0.008,8.05,2.84,400.178,43,161,103,98,18.685,0
30,9,base,waypoint,success,1,0.038,40.55,14.78,381.167,0,0,0,0,0.0,0
30,9,modes,waypoint,success,1,0.012,40.8,14.69,435.116,0,0,0,0,0.0,480
30,9,blob_extras,waypoint,success,1,0.038,41.35,13.87,415.942,349,827,660,216,20.992,0
30,9,blob_pods,waypoint,success,1,0.004,40.75,14.42,419.114,327,815,924,238,19.754,0
30,10,base,waypoint,success,1,0.068,51.7,19.61,356.966,0,0,0,0,0.0,0
30,10,modes,waypoint,success,1,0.06,49.4,18.22,452.562,0,0,0,0,0.0,186
30,10,blob_extras,waypoint,success,1,0.103,54.4,17.94,432.401,544,1088,1066,291,23.739,0
30,10,blob_pods,waypoint,success,1,0.11,49.4,18.17,403.242,432,988,1250,572,20.971,0
