scenario,config,world,seed,result,success,time_s,path_len_m,min_clear_m,stall_s,controller_mean_ms,controller_p95_ms,controller_max_ms,omega_sign_flips,mode_switches,assist_fraction,branch_selection_fraction,mean_ess,mean_path_error_m,max_path_error_m,reference_separation_fraction,reference_pairs,mean_reference_length_m,centreline_coverage,feasible_branch_fraction,mean_guided_modes,update_collapsed_fraction,own_drift_fraction,mean_free_energy_gap,reference_fallback_fraction
dynamic_blocked,shaped,4,1,success,1,28.05,10.79,0.091,0.1,162.139,217.018,384.403,16,16,1.0,0.5508021390374331,29.680081927292278,0.6071,1.1604,0.0,705,0.2739046551034987,0.11210951405758698,0.8767123287671232,1.7112299465240641,0.9631205673758865,0.0020833333333333333,2.270468997533806,0.0
dynamic_blocked,nominal_fb,4,1,collision,0,9.85,3.77,-0.013,0.05,180.41,227.078,500.048,3,5,1.0,0.934010152284264,21.665058721085064,0.5158,1.0624,0.288,500,0.9352892076280953,0.3519235463445202,0.9052453468697124,2.715736040609137,0.768,0.014953271028037384,1.2346571192693765,0.35194585448392557
dynamic_blocked,shaped,48,0,collision,0,6.5,2.2,-0.001,0.65,196.299,310.279,358.332,3,3,1.0,0.4076923076923077,42.47648965217243,0.2166,0.5168,0.0,114,0.46610981403044305,0.19249115032532263,0.824,2.376923076923077,1.0,0.0,0.35639192527233915,0.0
dynamic_blocked,nominal_fb,48,0,success,1,21.8,9.69,0.063,0.1,177.139,279.129,430.147,7,8,1.0,0.6880733944954128,52.0642452216549,0.4361,0.9608,0.2899628252788104,269,1.006756378494006,0.4315676765494578,0.832,1.4311926605504588,0.862453531598513,0.05448717948717949,2.485469104212766,0.2826666666666667
dynamic_blocked,shaped,48,1,success,1,37.65,12.02,0.099,2.4,150.567,242.425,348.295,18,16,1.0,0.6334661354581673,65.42408077686518,0.408,0.9534,0.0,694,0.39259621483215135,0.15912020207346425,0.8607594936708861,1.8061088977423638,0.9985590778097982,0.0007352941176470588,0.9587374428511553,0.0
dynamic_blocked,nominal_fb,48,1,success,1,22.6,10.1,0.08,0.05,160.541,265.719,369.459,7,7,1.0,0.7013274336283186,47.62743073573459,0.4519,0.9917,0.2708333333333333,384,1.0558335675714614,0.4229839664666642,0.8944099378881988,1.592920353982301,0.7604166666666666,0.041666666666666664,3.469362561112866,0.26583850931677017
dynamic_blocked,shaped,49,0,success,1,24.6,9.86,0.097,0.1,145.277,204.959,269.903,11,13,1.0,0.46747967479674796,44.59647026964421,0.3978,1.1302,0.0,634,0.3904385150719071,0.1637333423627712,0.895,1.8191056910569106,1.0,0.0,1.0171431840193261,0.0
dynamic_blocked,nominal_fb,49,0,success,1,21.45,9.43,0.093,0.1,155.361,219.934,387.148,9,10,1.0,0.7156177156177156,40.23202097879878,0.3557,0.8503,0.3265625,640,0.8924924265482597,0.37889212394410876,0.8853932584269663,1.8368298368298368,0.8046875,0.04568527918781726,1.602181794935061,0.38202247191011235
dynamic_blocked,shaped,49,1,collision,0,6.95,2.32,-0.009,0.45,180.092,255.337,350.436,6,3,1.0,0.8057553956834532,25.546155139878678,0.0172,0.0414,0.0,311,0.3103060694074502,0.13323871747979998,0.9138381201044387,2.5179856115107913,1.0,0.0,0.2134129414876694,0.0
dynamic_blocked,nominal_fb,49,1,collision,0,6.75,2.35,-0.008,0.4,167.956,210.133,273.553,10,3,1.0,0.5185185185185185,22.60095285447054,0.0218,0.0669,0.2783171521035599,309,0.6068539037776012,0.25896942932185485,0.9131578947368421,2.5703703703703704,0.7993527508090615,0.002881844380403458,0.664493505142568,0.6394736842105263
